FORDULO	HAZAICSAPAT	VENDEGCSAPAT	HAZAIGOL	VENDEGGOL
32	Arsenal_FC	Manchester_City	1	0
33	Everton_FC	Sunderland_AFC	4	0
33	Newcastle_United	Bolton_Wanderers	2	0
33	Tottenham_Hotspur	Norwich_City	1	2
33	Aston_Villa	Stoke_City	1	1
33	Fulham_FC	Chelsea_FC	1	1
33	Blackburn_Rovers	Liverpool_FC	2	3
33	Manchester_City	West_Bromwich_Albion	4	0
33	Wigan_Athletic	Manchester_United	1	0
33	Wolverhampton_Wanderers	Arsenal_FC	0	3
33	Queens_Park_Rangers	Swansea_City	3	0
34	Norwich_City	Manchester_City	1	6
34	Sunderland_AFC	Wolverhampton_Wanderers	0	0
34	Swansea_City	Blackburn_Rovers	3	0
34	West_Bromwich_Albion	Queens_Park_Rangers	1	0
34	Manchester_United	Aston_Villa	4	0
34	Arsenal_FC	Wigan_Athletic	1	2
34	Liverpool_FC	Fulham_FC	0	1
34	Stoke_City	Everton_FC	1	1
34	Chelsea_FC	Newcastle_United	0	2
34	Bolton_Wanderers	Tottenham_Hotspur	1	4
35	Arsenal_FC	Chelsea_FC	0	0
35	Aston_Villa	Sunderland_AFC	0	0
35	Blackburn_Rovers	Norwich_City	2	0
35	Bolton_Wanderers	Swansea_City	1	1
35	Fulham_FC	Wigan_Athletic	2	1
35	Newcastle_United	Stoke_City	3	0
35	Queens_Park_Rangers	Tottenham_Hotspur	1	0
35	Manchester_United	Everton_FC	4	4
35	Liverpool_FC	West_Bromwich_Albion	0	1
35	Wolverhampton_Wanderers	Manchester_City	0	2
36	Everton_FC	Fulham_FC	4	0
36	Stoke_City	Arsenal_FC	1	1
36	Sunderland_AFC	Bolton_Wanderers	2	2
36	Swansea_City	Wolverhampton_Wanderers	4	4
36	West_Bromwich_Albion	Aston_Villa	0	0
36	Wigan_Athletic	Newcastle_United	4	0
36	Norwich_City	Liverpool_FC	0	3
36	Chelsea_FC	Queens_Park_Rangers	6	1
36	Tottenham_Hotspur	Blackburn_Rovers	2	0
36	Manchester_City	Manchester_United	1	0
37	Arsenal_FC	Norwich_City	3	3
37	Newcastle_United	Manchester_City	0	2
37	Aston_Villa	Tottenham_Hotspur	1	1
37	Bolton_Wanderers	West_Bromwich_Albion	2	2
37	Fulham_FC	Sunderland_AFC	2	1
37	Queens_Park_Rangers	Stoke_City	1	0
37	Wolverhampton_Wanderers	Everton_FC	0	0
37	Manchester_United	Swansea_City	2	0
37	Blackburn_Rovers	Wigan_Athletic	0	1
37	Liverpool_FC	Chelsea_FC	4	1
38	Chelsea_FC	Blackburn_Rovers	2	1
38	Everton_FC	Newcastle_United	3	1
38	Manchester_City	Queens_Park_Rangers	3	2
38	Norwich_City	Aston_Villa	2	0
38	Stoke_City	Bolton_Wanderers	2	2
38	Sunderland_AFC	Manchester_United	0	1
38	Swansea_City	Liverpool_FC	1	0
38	Tottenham_Hotspur	Fulham_FC	2	0
38	West_Bromwich_Albion	Arsenal_FC	2	3
38	Wigan_Athletic	Wolverhampton_Wanderers	3	2
